"","species","n.occurrences"
"278","Clusia nemorosa G.Mey.",9
"279","Clusia organensis Planch. & Triana",5
"280","Cnidoscolus oligandrus (Müll.Arg.) Pax",8
"281","Coccoloba alnifolia Casar.",2
"282","Coccoloba glaziovii Lindau",1
"283","Coccoloba warmingii Meisn.",7
"284","Colubrina glandulosa Perkins",5
"285","Conchocarpus longifolius (A. St.-Hil.) Kallunki & Pirani",1
"286","Connarus detersus Planch.",1
"287","Copaifera langsdorffii Desf.",34
"288","Copaifera lucens Dwyer",4
"289","Copaifera trapezifolia Hayne",4
"290","Cordia aberrans I.M.Johnst.",1
"291","Cordia ecalyculata Vell.",13
"292","Cordia magnoliifolia Cham.",7
"293","Cordia nodosa Lam.",10
"294","Cordia sellowiana Cham.",30
"295","Cordia silvestris Fresen.",9
"296","Cordia superba Cham.",11
"297","Cordia taguahyensis Vell.",16
"298","Cordia trachyphylla Mart.",6
"299","Cordia trichoclada DC.",13
"300","Cordia trichotoma (Vell.) Arráb. ex Steud.",22
"301","Cordiera concolor (Cham.) Kuntze",2
"302","Cordiera elliptica (Cham.) Kuntze",20
"303","Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete",1
"304","Cordiera rigida (K.Schum.) Kuntze",2
"305","Cordiera sessilis (Vell.) Kuntze",7
"306","Cordiera stipulacea",9
"307","Cordiera vinosa (Cham.) Kuntze",5
"308","Couepia monteclarensis Prance",5
"309","Couepia rufa Ducke",4
"310","Couepia schottii Fritsch",1
"311","Couepia uiti (Mart. & Zucc.) Benth. ex Hook.f.",1
"312","Couepia venosa Prance",2
"313","Couratari macrosperma A.C.Sm.",10
"314","Couratari pyramidata (Vell.) Kunth",3
"315","Coussapoa curranii S.F.Blake",3
"316","Coussapoa microcarpa (Schott) Rizzini",14
"317","Coussarea contracta (Walp.) Müll.Arg.",7
"318","Coussarea graciliflora (Mart.) Müll.Arg.",2
"319","Coussarea hydrangeifolia (Benth.) Müll.Arg.",4
"320","Coussarea ilheotica Müll.Arg.",1
"321","Coussarea nodosa (Benth.) Müll.Arg.",1
"322","Coussarea verticillata Müll.Arg.",5
"323","Coutarea hexandra (Jacq.) K.Schum.",20
"324","Crateva tapia L.",3
"325","Crepidospermum atlanticum Daly",6
"326","Croton celtidifolius Baill.",6
"327","Croton echinocarpus Müll. Arg.",23
"328","Croton floribundus Spreng.",29
"329","Croton piptocalyx Müll.Arg.",9
"330","Croton salutaris Casar.",5
"331","Croton sincorensis Mart.",1
"332","Croton urucurana Baill.",29
"333","Cryptocarya citriformis (Vell.) P.L.R.Moraes",4
"334","Cryptocarya mandioccana Meisn.",23
"335","Cryptocarya micrantha Meisn.",5
"336","Cryptocarya moschata Nees & Mart.",5
"337","Cryptocarya saligna Mez",6
"338","Cupania emarginata Cambess.",21
"339","Cupania furfuracea Radlk.",2
"340","Cupania ludowigii Somner & Ferrucci",19
"341","Cupania oblongifolia Mart.",19
"342","Cupania platycarpa Radlk.",11
"343","Cupania racemosa (Vell.) Radlk.",17
"344","Cupania rugosa Radlk.",3
"345","Cupania tenuivalvis Radlk.",2
"346","Cupania vernalis Cambess.",33
"347","Cupania zanthoxyloides Radlk.",2
"348","Cyathea atrovirens (Langsd. & Fisch.) Domin",4
"349","Cyathea corcovadensis (Raddi) Domin",18
"350","Cyathea delgadii Sternb.",33
"351","Cyathea dichromatolepis (Fée) Domin",4
"352","Cyathea gardneri Hook.",5
"353","Cyathea leucofolis Domin",7
"354","Cyathea microdonta (Desv.) Domin",6
"355","Cyathea phalerata Mart.",28
"356","Cyathea poeppigii (Hook.) Domin",1
"357","Cyathea rufa (Fée) Lellinger",1
"358","Cyathea villosa Willd.",5
"359","Cybianthus peruvianus (A.DC.) Miq.",7
"360","Cybistax antisyphilitica (Mart.) Mart.",23
"361","Cyclolobium brasiliense Benth.",8
"362","Cymbopetalum brasiliense (Vell.) Benth. ex Baill.",9
"363","Cynophalla flexuosa (L.) J.Presl",1
"364","Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G. Azevedo",16
"365","Dalbergia brasiliensis Vogel",11
"366","Dalbergia foliolosa Benth.",23
"367","Dalbergia frutescens (Vell.) Britton",23
"368","Dalbergia nigra (Vell.) Allemão ex Benth.",41
"369","Dalbergia villosa (Benth.) Benth.",18
"370","Daphnopsis brasiliensis Mart.",1
"371","Daphnopsis coriacea Taub.",2
"372","Daphnopsis fasciculata (Meisn.) Nevling",9
"373","Daphnopsis racemosa Griseb.",3
"374","Daphnopsis utilis Warm.",1
"375","Dasyphyllum brasiliense (Spreng.) Cabrera",1
"376","Dasyphyllum spinescens (Less.) Cabrera",1
"377","Deguelia costata (Benth.) A.M.G.Azevedo & R.A.Camargo",24
"378","Deguelia hatschbachii A.M.G.Azevedo",8
"379","Dendropanax cuneatus (DC.) Decne. & Planch.",24
"380","Dialium guianense (Aubl.) Sandwith",13
"381","Dicksonia sellowiana Hook.",3
"382","Dictyoloma vandellianum A.Juss.",29
"383","Dilodendron bipinnatum Radlk.",1
"384","Dimorphandra exaltata Schott",7
"385","Dimorphandra jorgei M.F.Silva",1
"386","Diospyros apeibacarpos Raddi",2
"387","Diospyros hispida A.DC.",9
"388","Diospyros inconstans Jacq.",10
"389","Diospyros ketun B.Walln.",5
"390","Diospyros sericea A.DC.",2
"391","Diplotropis ferruginea Benth.",8
"392","Diplotropis incexis Rizzini & A.Mattos",1
"393","Dodonaea viscosa Jacq.",1
"394","Drimys brasiliensis Miers",4
"395","Duguetia chrysocarpa Maas",8
"396","Duguetia lanceolata A.St.-Hil.",13
"397","Duroia saccifera (Schult. & Schult.f.) K.Schum.",7
"398","Ecclinusa ramiflora Mart.",5
"399","Emmotum affine Miers",1
"400","Emmotum nitens (Benth.) Miers",2
"401","Endlicheria glomerata Mez",25
"402","Endlicheria paniculata (Spreng.) J.F.Macbr.",27
"403","Enterolobium contortisiliquum (Vell.) Morong",12
"404","Enterolobium monjollo (Vell.) Mart.",10
"405","Eremanthus capitatus (Spreng.) MacLeish",1
"406","Eremanthus crotonoides (DC.) Sch.Bip.",6
"407","Eremanthus erythropappus (DC.) MacLeish",11
"408","Eremanthus glomerulatus Less.",2
"409","Eremanthus incanus (Less.) Less.",15
"410","Eriotheca candolleana (K.Schum.) A.Robyns",27
"411","Eriotheca macrophylla (K.Schum.) A.Robyns",22
"412","Erythrina cristagalli L.",4
"413","Erythrina falcata Benth.",11
"414","Erythrina fusca Lour.",5
"415","Erythrina speciosa Andrews",5
"416","Erythrina verna Vell.",18
"417","Erythrochiton brasiliensis Nees & Mart.",8
"418","Erythroxylum citrifolium A.St.-Hil.",29
"419","Erythroxylum cuneifolium (Mart.) O.E.Schulz",1
"420","Erythroxylum cuspidifolium Mart.",1
"421","Erythroxylum daphnites Mart.",1
"422","Erythroxylum deciduum A.St.-Hil.",4
"423","Erythroxylum pelleterianum A.St.-Hil.",27
"424","Erythroxylum pulchrum A.St.-Hil.",22
"425","Erythroxylum squamatum Sw.",1
"426","Erythroxylum subrotundum A.St.-Hil.",5
"427","Erythroxylum vacciniifolium Mart.",3
"428","Eschweilera ovata (Cambess.) Mart. ex Miers",8
"429","Esenbeckia febrifuga (A.St.-Hil.) A. Juss. ex Mart.",17
"430","Esenbeckia grandiflora Mart.",18
"431","Esenbeckia leiocarpa Engl.",7
"432","Eugenia acutata Miq.",23
"433","Eugenia adenantha O.Berg",4
"434","Eugenia bahiensis DC.",2
"435","Eugenia batingabranca Sobral",2
"436","Eugenia beaurepairiana (Kiaersk.) D.Legrand",6
"437","Eugenia brasiliensis Lam.",15
"438","Eugenia brevistyla D.Legrand",5
"439","Eugenia candolleana DC.",3
"440","Eugenia cerasiflora Miq.",17
"441","Eugenia copacabanensis Kiaersk.",1
"442","Eugenia cuprea (O.Berg) Nied.",8
"443","Eugenia dodonaeifolia Cambess.",12
"444","Eugenia egensis DC.",1
"445","Eugenia excelsa O.Berg",6
"446","Eugenia flavescens DC.",3
"447","Eugenia florida DC.",40
"448","Eugenia francavilleana O.Berg",3
"449","Eugenia fusca O.Berg",9
"450","Eugenia gracillima Kiaersk.",2
